City,Encoded_Value
agra,0.0024669538642807173
ahmadnagar,0.00017182763233796042
ahmedabad,0.07219828908771801
allahabad,0.0009695987824784909
aurangabad,0.0025160474735201345
badlapur,0.002104888496140015
bangalore,0.13676865863986157
belgaum,0.00033138186236606647
bhiwadi,0.0061305644537722305
bhiwandi,0.0004541158854646096
bhopal,0.00062594351780257
bhubaneswar,0.0022030757146188494
chandigarh,0.00830909336377137
chennai,0.05276949323121863
coimbatore,0.002933343152055181
dehradun,0.005443253924420389
durgapur,0.0008775482651545835
ernakulam,0.001012555690562981
faridabad,0.02200007364041386
ghaziabad,0.0051302821655191035
goa,0.005713268775237183
greater-noida,0.0260993900119052
guntur,0.001521901886421935
gurgaon,0.1078525227978448
guwahati,0.00408090626802656
gwalior,0.0008836849663095106
haridwar,0.0009205051732390737
hyderabad,0.05460436687654185
indore,0.0007179940351264774
jabalpur,0.0006566270235772058
jaipur,0.04454631368361624
jamshedpur,0.003080623979773433
jodhpur,0.00033138186236606647
kalyan,0.002964026657829817
kanpur,0.004246597199209593
kochi,0.005995557028363832
kolkata,0.11150385998502645
kozhikode,0.0003006983565914307
lucknow,0.004670029578899566
ludhiana,0.0008530014605348749
madurai,0.0001288707242534703
mangalore,0.0022337592203934852
mohali,0.008579108214588165
mumbai,0.009732808031714472
mysore,0.0009757354836334181
nagpur,0.003522466462928188
nashik,0.0011659732194361598
navi-mumbai,0.003823164819519619
navsari,0.00014728082771825178
nellore,0.00017182763233796042
new-delhi,0.15230678596413713
noida,0.007413134995152006
palakkad,0.00015955423002810608
palghar,0.0027001485081679494
panchkula,0.0019576076684217633
patna,0.003988855750702652
pondicherry,0.00016569093118303324
pune,0.012623194275685163
raipur,0.0027553788185622936
rajahmundry,0.0004909360923941726
ranchi,0.005952600120279343
satara,0.0003006983565914307
shimla,0.0003252451612111393
siliguri,0.002264442726168121
solapur,0.00017796433349288757
sonipat,0.004387741325772918
surat,0.012512733654896474
thane,0.010671723308418327
thrissur,0.0010186923917179082
tirupati,0.00047252598892939113
trichy,0.0006443536212673515
trivandrum,0.001049375897492544
udaipur,0.0007179940351264774
udupi,0.00030683505774635787
vadodara,0.013150950575008898
vapi,0.0008345913570700934
varanasi,0.0014359880702529547
vijayawada,0.0029885734624495257
visakhapatnam,0.00958552720399622
vrindavan,0.000349791965830848
zirakpur,0.008849123065404961
